kp,ki,kd,max_throttle,crashed,runtime,distance,total_absolute_cte
0.11542959212689,0.03988734100000002,0.051541489999999995,0.7631686508999997,true,23.2752,514.947,18.3262
0.03948742787310995,0.03988734100000002,0.051541489999999995,0.7631686508999997,true,28.9404,747.978,25.0484
0.07745850999999998,0.07785842312689004,0.051541489999999995,0.7631686508999997,true,56.6984,1750.02,41.1695
0.07745850999999998,0.001916258873109991,0.051541489999999995,0.7631686508999997,false,90.0284,2966.92,70.8152
0.07745850999999998,0.039887341000000014,0.08951257212689001,0.7631686508999997,true,33.4598,883.508,24.1566
0.07745850999999998,0.039887341000000014,0.013570407873109966,0.7631686508999997,true,9.37269,116.196,10.8505
0.07745850999999998,0.039887341000000014,0.05154148999999999,0.8324958255377097,true,56.8758,1890.35,44.4418
0.07745850999999998,0.039887341000000014,0.05154148999999999,0.6938414762622896,false,90.0271,2744.92,62.8784
0.111632483914201,0.039887341000000014,0.05154148999999999,0.7631686508999997,true,23.1841,534.667,15.0076
0.04328453608579895,0.039887341000000014,0.05154148999999999,0.7631686508999997,true,28.8587,745.151,22.5032
0.07745850999999998,0.07406131491420104,0.05154148999999999,0.7631686508999997,true,56.7867,1750.97,40.5676
0.07745850999999998,0.00571336708579899,0.05154148999999999,0.7631686508999997,false,90.0188,2969.88,67.9657
0.07745850999999998,0.039887341000000014,0.08571546391420101,0.7631686508999997,true,33.4955,882.888,23.6604
0.07745850999999998,0.039887341000000014,0.017367516085798965,0.7631686508999997,true,10.6209,146.885,12.5099
0.07745850999999998,0.039887341000000014,0.05154148999999999,0.8255631080739387,true,27.3236,737.034,16.9968
0.07745850999999998,0.039887341000000014,0.05154148999999999,0.7007741937260606,false,90.0213,2767.41,62.2904
0.1082150865227809,0.039887341000000014,0.05154148999999999,0.7631686508999996,true,26.6267,642.325,21.5842
0.04670193347721906,0.039887341000000014,0.05154148999999999,0.7631686508999996,true,57.527,1799.57,53.0275
0.07745850999999998,0.07064391752278093,0.05154148999999999,0.7631686508999996,true,56.8301,1749.69,42.0282
0.07745850999999998,0.009130764477219083,0.05154148999999999,0.7631686508999996,true,28.8417,740.007,16.2363
0.07745850999999998,0.03988734100000001,0.0822980665227809,0.7631686508999996,true,33.6536,896.129,24.9058
0.07745850999999998,0.03988734100000001,0.020784913477219058,0.7631686508999996,true,11.9257,180.998,14.0934
0.07745850999999998,0.03988734100000001,0.05154148999999998,0.8193236623565447,true,27.4104,738.27,17.3033
0.07745850999999998,0.03988734100000001,0.05154148999999998,0.7070136394434545,false,90.0045,2792.29,62.6657
0.10513942887050282,0.03988734100000001,0.05154148999999998,0.7631686508999996,true,30.3396,759.629,27.8599
0.04977759112949715,0.03988734100000001,0.05154148999999998,0.7631686508999996,false,90.009,2995.59,87.475
0.04977759112949715,0.06756825987050284,0.05154148999999998,0.7631686508999996,false,90.0047,2983.34,86.2058
0.04977759112949715,0.012206422129497178,0.05154148999999998,0.7631686508999996,true,29.0043,745.782,20.5897
0.04977759112949715,0.03988734100000001,0.07922240887050282,0.7631686508999996,true,33.1139,883.172,29.8081
0.04977759112949715,0.03988734100000001,0.023860571129497153,0.7631686508999996,true,23.8639,560.433,36.2951
0.04977759112949715,0.03988734100000001,0.05154148999999998,0.8137081612108903,true,27.509,740.621,21.211
0.04977759112949715,0.03988734100000001,0.05154148999999998,0.7126291405891091,false,90.0029,2823.51,81.6539
0.08022660188705028,0.03988734100000001,0.05154148999999998,0.7631686508999997,false,90.0295,2965.12,70.2069
0.019328580371944043,0.03988734100000001,0.05154148999999998,0.7631686508999997,true,25.5125,624.773,25.708
0.04977759112949716,0.06480016798345256,0.05154148999999998,0.7631686508999997,false,90.0252,2990.52,84.6617
0.04977759112949716,0.014974514016547466,0.05154148999999998,0.7631686508999997,true,28.9435,745.125,21.1984
0.04977759112949716,0.039887341000000014,0.07645431698345254,0.7631686508999997,true,29.399,756.086,21.751
0.04977759112949716,0.039887341000000014,0.02662866301654744,0.7631686508999997,true,24.9628,609.692,21.585
0.04977759112949716,0.039887341000000014,0.05154148999999999,0.8086542101798013,true,27.72,745.76,21.4372
